feature,count,start,end
1,15195,0,15194
10,15048,15195,30242
11,3000,30243,33242
12,3000,33243,36242
13,3000,36243,39242
2,15195,39243,54437
3,15195,54438,69632
4,15195,69633,84827
5,15195,84828,100022
6,15048,100023,115070
7,15048,115071,130118
8,15048,130119,145166
9,15048,145167,160214
