featureType,latitude,longitude,xCoordinate,yCoordinate
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,26.428604,50.066522,5567.143241138186,2938.7266830980916
0,26.428604,50.066522,5567.143241138186,2938.7266830980916
0,26.428604,50.066522,5567.143241138186,2938.7266830980916
0,26.284889,50.144043,5575.763183,2922.7463042153686
0,21.269189,40.41915,4494.404419285416,2365.025910644256
0,21.269189,40.41915,4494.404419285416,2365.025910644256
0,21.269189,40.41915,4494.404419285416,2365.025910644256
0,26.556,49.996,5559.301552521359,2952.892471972902
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,17.057837,47.090457,5236.219911773747,1896.7449339298396
0,26.428604,50.066522,5567.143241138186,2938.7266830980916
0,18.350639,45.602164,5070.729280813137,2040.497957485779
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.336408,43.967329,4888.943923,2928.4749556411693
0,26.519038,43.991731,4891.657301512161,2948.782485094265
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,25.925376,49.66834,5522.867422857003,2882.7702825526035
0,17.665621,45.250109,5031.582550913287,1964.3274312255764
0,19.096906,42.863788,4766.235762367917,2123.4790618080337
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,26.554784,50.004525,5560.249489271004,2952.757258942102
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,25.403052,49.589793,5514.133394953852,2824.6905036879107
0,26.585137,49.976431,5557.125579001851,2956.1323585505443
0,17.489234,47.104438,5237.7745280431645,1944.7140916995224
0,18.520277,45.69972,5081.577013076873,2059.3608424519084
0,17.567896,44.233563,4918.547793012467,1953.460907019237
0,18.520277,45.69972,5081.577013076873,2059.3608424519084
0,17.453164,44.720597,4972.703502915873,1940.7032906954532
0,18.520277,45.69972,5081.577013076873,2059.3608424519084
0,26.576492,49.998236,5559.550184377335,2955.1710784097017
0,25.403052,49.589793,5514.133394953852,2824.6905036879107
0,17.55494,44.232356,4918.413580736008,1952.0202655496298
0,26.58367,49.980703,5557.600603728477,2955.969235593157
0,26.583956,49.984697,5558.044716265495,2956.001037342177
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,26.587351,49.984146,5557.983447860915,2956.378544118136
0,18.351466,45.600711,5070.567714584722,2040.5899156901135
0,19.096905,42.863786,4766.235539978063,2123.478950613107
0,24.684588,46.70267,5193.099964755033,2744.800951911155
0,24.684588,46.70267,5193.099964755033,2744.800951911155
0,21.485811,39.192505,4358.007718491502,2389.1131780438536
0,20.596271,41.053352,4564.924464153248,2290.2008429964526
0,24.089097,38.063963,4232.519573586198,2678.5853738486594
0,16.800006,43.149996,4798.060639933004,1868.0754347981465
0,16.889586,42.560818,4732.547035442414,1878.0362763269666
0,24.460197,39.599033,4403.21157,2719.8498111264557
0,16.893194,42.57526,4734.152912573016,1878.437468
0,16.893194,42.57526,4734.152912573016,1878.437468
0,16.893194,42.57526,4734.152912573016,1878.437468
0,16.524264,42.967896,4777.812043791029,1837.4143233353227
0,18.64233,43.012665,4782.790129461979,2072.932516833657
0,16.770578,43.150917,4798.163050460443,1864.8031904968507
0,16.889214,42.57228,4733.821551691615,1877.9949118142542
0,16.893194,42.575261,4734.153023767943,1878.437468
0,16.893194,42.575261,4734.153023767943,1878.437468
0,16.892213,42.56892,4733.447936738089,1878.3283853992616
0,16.889167,42.561111,4732.579615555921,1877.989685652702
0,16.889359,42.570567,4733.631074782272,1878.0110350786179
0,17.468393,42.707611,4748.869672,1942.3966782333232
0,28.383333,36.583333,4067.8810293484657,3156.0826308630835
0,22.755438,46.209155,5138.223600532045,2530.2892591748046
0,16.601689,42.94059,4774.775755124072,1846.0235905307777
0,16.800296,43.150341,4798.099002182696,1868.1076813268733
0,28.104333,43.015529,4783.108591731889,3125.0592463292514
0,28.104333,43.015529,4783.108591731889,3125.0592463292514
0,21.503571,39.179195,4356.527714017862,2391.0879999410604
0,24.64732,46.714581,5194.424407526298,2740.6569393849654
0,24.64732,46.714581,5194.424407526298,2740.6569393849654
0,24.64732,46.714581,5194.424407526298,2740.6569393849654
0,24.64732,46.714581,5194.424407526298,2740.6569393849654
0,24.64732,46.714581,5194.424407526298,2740.6569393849654
0,24.64732,46.714581,5194.424407526298,2740.6569393849654
0,24.64732,46.714581,5194.424407526298,2740.6569393849654
0,21.523558,41.919647,4661.252073130796,2393.310452939905
0,21.422512,39.826209,4428.472388285865,2382.0746503821797
0,21.422512,39.826209,4428.472388285865,2382.0746503821797
0,26.489327,50.00923,5560.772661400866,2945.478772628729
0,26.49151,50.008725,5560.716508,2945.7215111535947
0,19.096906,42.863788,4766.235762367917,2123.4790618080337
0,19.981444,42.601596,4737.081342161127,2221.8351998323583
0,26.56114,50.007,5560.5246967144485,2953.4640138958553
0,17.562997,43.455986,4832.085175536972,1952.9161630736048
0,21.543257,39.176184,4356.1929060937355,2395.500881799877
0,27.000544,49.670802,5523.141184766402,3002.3235094431807
