featureType,latitude,longitude,xCoordinate,yCoordinate
0,21.881796,-102.29127,-11374.27026,2433.144701071199
0,32.493684,-116.952953,-13004.57503,3613.132808791472
0,32.493684,-116.952953,-13004.57503,3613.132808791472
0,32.493683,-116.95295,-13004.5747,3613.132697596545
0,32.493683,-116.95295,-13004.5747,3613.132697596545
0,32.493683,-116.95295,-13004.5747,3613.132697596545
0,16.9878,-92.5186,-10287.59894,1888.9571748524347
0,17.212718,-92.853537,-10324.84224,1913.9669153634754
0,17.212718,-92.853537,-10324.84224,1913.9669153634754
0,17.212718,-92.853537,-10324.84224,1913.9669153634754
0,17.212718,-92.853537,-10324.84224,1913.9669153634754
0,16.994353,-92.891749,-10329.09122,1889.6858352067368
0,16.774267,-92.131259,-10244.52859,1865.2133885812423
0,16.784013,-92.689632,-10306.61683,1866.2970943363205
0,16.893485,-92.626492,-10299.59598,1878.469825345953
0,15.743255,-92.28566,-10261.69719,1750.5700848715824
0,15.743255,-92.28566,-10261.69719,1750.5700848715824
0,16.244293,-92.124273,-10243.75178,1806.2829685277186
0,17.106764,-92.525715,-10288.39009,1902.185368105778
0,16.3119,-91.98028,-10227.74049,1813.8005239333777
0,16.3119,-91.98028,-10227.74049,1813.8005239333777
0,16.90639,-92.09374,-10240.35666,1879.904795874301
0,17.510979,-91.993047,-10229.16011,1947.1320253794083
0,17.508192,-93.118695,-10354.32646,1946.8221251188504
0,17.16028,-92.89976,-10329.982,1908.1360758000885
0,16.667392,-92.564953,-10292.75316,1853.329430796105
0,16.738601,-92.633229,-10300.3451,1861.2475103275372
0,16.738601,-92.633229,-10300.3451,1861.2475103275372
0,17.400891,-92.463905,-10281.51713,1934.8907982949625
0,17.276985,-92.315898,-10265.05951,1921.1130797141416
0,16.751601,-93.102994,-10352.58059,1862.693044373917
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.756932,-93.129235,-10355.49845,1863.285824527859
0,16.338913,-92.56344,-10292.58492,1816.804232486827
0,16.338913,-92.56344,-10292.58492,1816.804232486827
0,31.733333,-106.483333,-11840.4064,3528.5856351223547
0,31.733333,-106.483333,-11840.4064,3528.5856351223547
0,31.733333,-106.483333,-11840.4064,3528.5856351223547
0,31.733333,-106.483333,-11840.4064,3528.5856351223547
0,31.733333,-106.483333,-11840.4064,3528.5856351223547
0,19.389597,-98.708387,-10975.87185,2156.024816082556
0,24.565195,-104.648269,-11636.35659,2731.525056034281
0,19.371887,-99.086624,-11017.92989,2154.055553931681
0,19.371887,-99.086624,-11017.92989,2154.055553931681
0,19.371887,-99.086624,-11017.92989,2154.055553931681
0,19.371887,-99.086624,-11017.92989,2154.055553931681
0,19.371887,-99.086624,-11017.92989,2154.055553931681
0,19.371887,-99.086624,-11017.92989,2154.055553931681
0,19.371887,-99.086624,-11017.92989,2154.055553931681
0,19.371887,-99.086624,-11017.92989,2154.055553931681
